Nom_complet;Sexe;Nuance;Elu;Région;Tendency
KOURICHE Fatima;FEMININ;UG;False;Bourgogne-Franche-Comté;Gauche
GUERINI Stanislas;MASCULIN;ENS;False;Île-de-France;Centre-Droite
ADAM Damien;MASCULIN;ENS;False;Normandie;Centre-Droite
MICHEL Théo;MASCULIN;UXD;False;Île-de-France;Extrême-Droite
MOURGERES Manon;FEMININ;RN;False;Île-de-France;Extrême-Droite
DU CHALARD Thomas;MASCULIN;RN;False;Île-de-France;Extrême-Droite
POUZYREFF Natalia;FEMININ;ENS;True;Île-de-France;Centre-Droite
OLIVE Karl;MASCULIN;ENS;True;Île-de-France;Centre-Droite
ROUSSEAU Aurélien;MASCULIN;UG;True;Île-de-France;Gauche
BOURDON Céline;FEMININ;UG;False;Île-de-France;Gauche
JACQMIN Anne;FEMININ;RN;False;Île-de-France;Extrême-Droite
BRAUN-PIVET Yaël;FEMININ;ENS;True;Île-de-France;Centre-Droite
MARCHIVE Bastien;MASCULIN;DVC;True;Nouvelle-Aquitaine;Centre
HAMDANE Zahia;FEMININ;UG;True;Hauts-de-France;Gauche
BESSE Véronique;FEMININ;DVD;True;Pays de la Loire;Droite
BELLUCO Lisa;FEMININ;UG;True;Nouvelle-Aquitaine;Gauche
HOULIÉ Sacha;MASCULIN;ENS;True;Nouvelle-Aquitaine;Centre-Droite
DOS SANTOS DE OLIVEIRA Camille;FEMININ;RN;False;Nouvelle-Aquitaine;Extrême-Droite
MEUNIER Manon;FEMININ;UG;True;Nouvelle-Aquitaine;Gauche
LEJEUNE Claire;FEMININ;UG;True;Île-de-France;Gauche
